,Time,CO,NO2,NOX,O3,PM10,SOLR,TMP,WDIR,WSPD
313,7/3/07 4:00,0.2,0,13,13,63.9,0,6,257,3.5
314,7/3/07 5:00,0.2,5,17,25,53.9,0,6,271,4
315,7/3/07 6:00,0.3,13,50.1,69.1,31.9,2,6,266,3.5
316,7/3/07 7:00,0.2,11,46.1,63.1,33.9,42,6,269,4
317,7/3/07 8:00,0.3,28,52.1,94.1,29.9,158,7,273,3.3
318,7/3/07 9:00,0.3,46,55.1,126.2,29.9,323,8,284,3.8
319,7/3/07 10:00,0.3,29,42.1,86.1,41.9,376,10,289,2.3
320,7/3/07 11:00,0.3,28,44.1,86.1,43.9,178,11,295,2.8
321,7/3/07 14:00,0.5,31,44.1,92.1,45.9,159,13,301,3.3
322,7/3/07 15:00,0.5,33,44.1,94.1,45.9,176,14,311,3
323,7/3/07 16:00,0.7,41,57.1,120.2,37.9,79,13,318,2.5
324,7/3/07 17:00,0.9,71,86.1,195.3,14,19,12,325,2
325,7/3/07 18:00,1.2,158.89999,120.2,363.5,2,0,11,313,1
326,7/3/07 19:00,0.8,144.89999,117.2,338.39999,2,0,10,281,1.8
327,7/3/07 20:00,0.6,115.9,97.1,275.39999,2,0,9,278,3
328,7/3/07 21:00,0.6,69,82.1,187.2,2,0,8,276,3.3
329,7/3/07 22:00,0.6,76,86.1,202.3,2,0,8,278,2.5
330,7/3/07 23:00,0.5,31,65.1,113.1,2,0,6,272,2
331,8/3/07 1:00,0.5,26,63.1,103.1,2,0,5,288,2
332,8/3/07 2:00,0.5,39,55.1,115.2,2,0,4,270,1.8
333,8/3/07 3:00,0.5,43,57.1,122.2,0,0,4,291,1.5
334,8/3/07 4:00,0.6,73,55.1,166.2,0,0,3,275,2
335,8/3/07 5:00,0.7,168.89999,82.1,340.39999,2,0,3,343,1
336,8/3/07 6:00,0.9,202.89999,92.1,401.5,2,6,3,323,1.3
337,8/3/07 7:00,0.7,169.89999,76.1,336.39999,4,88,4,277,2
338,8/3/07 8:00,0.8,149.89999,78.1,308.39999,6,206,6,296,2
339,8/3/07 9:00,0.6,71,65.1,174.2,14,322,10,298,1.3
340,8/3/07 10:00,0.5,31,52.1,99.1,29.9,345,12,238,1.3
